iter	RMSE
0	5.510107157
1	4.784295363
2	4.37678287
3	3.947615379
4	3.714268932
5	3.336450818
6	3.119227992
7	2.892602985
8	2.733592629
9	2.475831641
10	2.186862396
11	2.06781546
12	1.982877162
13	1.953603901
14	1.829387828
15	1.741252246
16	1.565390642
17	1.462957978
18	1.323877832
19	1.233823125
20	1.123672365
21	1.047763465
22	0.9776474616
23	0.8879548006
24	0.8505345245
25	0.782661629
26	0.7460854576
27	0.7057931797
28	0.6575094519
29	0.5537849104
30	0.5251641324
31	0.4608975231
32	0.4221844278
33	0.3754242019
34	0.3491817026
35	0.3151391023
36	0.293269423
37	0.2728057076
38	0.2552574578
39	0.2384167891
40	0.2239070957
41	0.2108816436
42	0.1947320047
43	0.1739754708
44	0.1658658047
45	0.1550886175
46	0.145987279
47	0.1318275081
48	0.1258794035
49	0.1166699195
50	0.1094643131
51	0.1027933632
52	0.09200195213
53	0.08260621098
54	0.07741880218
55	0.07083658111
56	0.06512475485
57	0.06069506485
58	0.05484151255
59	0.05075383116
60	0.04242580777
61	0.03950200427
62	0.03584429417
63	0.03206737593
64	0.02955566428
65	0.02662100557
66	0.02430918016
67	0.02273740401
68	0.02107913586
69	0.01925380822
70	0.01800208543
71	0.01624471602
72	0.01537478175
73	0.01397493696
74	0.01319656219
75	0.01169487613
76	0.01046745809
77	0.009854023587
78	0.008865457118
79	0.008123504163
80	0.007482486701
81	0.006877710213
82	0.006422100278
83	0.006008692038
84	0.005406401161
85	0.00521506059
86	0.00499980599
87	0.004768392519
88	0.0042316284
89	0.003820341881
90	0.003417594906
91	0.00315946356
92	0.002985874755
93	0.002681876255
94	0.002545481087
95	0.002349982674
96	0.002132341072
97	0.001990855301
98	0.001926512398
99	0.001843491762
100	0.001716747459
101	0.001642766942
102	0.001409139136
103	0.001345348153
104	0.001249092265
105	0.00110432198
106	0.001026605799
107	0.0009847930362
108	0.0009297383654
109	0.0008781560186
110	0.0007890745506
111	0.000741146807
112	0.0007036056432
113	0.0006404536772
114	0.000587504529
115	0.0005492947948
116	0.000518616044
117	0.0005007918514
118	0.0004610773114
119	0.0004446550798
120	0.000399640133
121	0.0003714064725
122	0.0003493794101
123	0.0003372061685
124	0.0003191975021
125	0.0002910572708
126	0.0002756110742
127	0.0002538210652
128	0.0002425912985
129	0.0002348123954
130	0.0002061380133
131	0.000191058075
132	0.0001711275917
133	0.0001590309552
134	0.000150800868
135	0.0001456915402
136	0.0001375545942
137	0.0001328654744
138	0.0001220187396
139	0.0001181130643
140	0.0001062758012
141	0.0001042648374
142	9.647661903e-05
143	9.143616998e-05
144	8.354225211e-05
145	8.05084267e-05
146	7.475918632e-05
147	7.314218915e-05
148	7.107040101e-05
149	6.243441304e-05
150	6.003842229e-05
151	5.226214377e-05
152	4.823811596e-05
153	4.306545928e-05
154	4.022487204e-05
155	3.636033237e-05
156	3.46180532e-05
157	3.176712627e-05
158	2.965082425e-05
159	2.690905888e-05
160	2.528770913e-05
161	2.353077601e-05
162	2.218070215e-05
163	2.100883725e-05
164	1.965646585e-05
165	1.805328392e-05
166	1.683206194e-05
167	1.576533688e-05
168	1.428269318e-05
169	1.321951967e-05
170	1.19380622e-05
171	1.117777567e-05
172	1.086997401e-05
173	9.669591219e-06
174	9.147277156e-06
175	8.316662572e-06
176	8.123639226e-06
177	7.515834759e-06
178	7.141246258e-06
179	6.715993997e-06
180	6.205846317e-06
181	5.78305803e-06
182	5.449400875e-06
183	5.21116157e-06
