iter	Passed	Remaining
0	0	109
1	1	104
2	1	95
3	2	93
4	2	91
5	2	88
6	3	86
7	3	85
8	4	86
9	4	85
10	5	84
11	5	82
12	6	82
13	6	80
14	7	78
15	7	78
16	7	78
17	8	77
18	9	81
19	10	85
20	11	86
21	11	85
22	12	84
23	12	83
24	12	82
25	13	81
26	13	80
27	14	79
28	14	78
29	15	78
30	15	77
31	16	76
32	16	75
33	17	75
34	17	74
35	17	73
36	18	72
37	18	72
38	19	71
39	19	71
40	20	70
41	20	70
42	21	69
43	21	68
44	22	68
45	22	67
46	23	67
47	23	66
48	23	66
49	24	65
50	24	65
51	25	64
52	25	64
53	26	63
54	26	62
55	27	62
56	28	62
57	29	63
58	30	63
59	30	63
60	31	62
61	31	62
62	32	61
63	32	60
64	33	60
65	33	59
66	33	59
67	34	58
68	34	57
69	35	57
70	35	56
71	36	56
72	36	55
73	37	55
74	37	54
75	37	53
76	38	53
77	38	52
78	39	52
79	39	51
80	40	51
81	40	50
82	41	50
83	41	49
84	42	49
85	42	48
86	42	47
87	43	47
88	43	46
89	44	46
90	44	45
91	45	45
92	45	44
93	45	43
94	46	43
95	46	43
96	47	42
97	48	42
98	49	42
99	50	42
100	50	41
101	51	41
102	51	40
103	52	40
104	52	39
105	53	39
106	53	38
107	53	37
108	54	37
109	54	36
110	55	36
111	55	35
112	56	35
113	56	34
114	57	34
115	57	33
116	57	33
117	58	32
118	58	32
119	59	31
120	59	31
121	60	30
122	60	30
123	60	29
124	61	28
125	62	28
126	62	28
127	63	27
128	63	27
129	64	26
130	64	26
131	65	25
132	65	25
133	66	24
134	66	24
135	67	23
136	67	23
137	68	22
138	68	22
139	69	21
140	70	21
141	71	21
142	72	20
143	72	20
144	73	19
145	73	19
146	73	18
147	74	18
148	74	17
149	75	17
150	75	16
151	76	16
152	76	15
153	76	14
154	77	14
155	77	13
156	78	13
157	78	12
158	79	12
159	79	11
160	80	11
161	80	10
162	81	10
163	81	9
164	82	9
165	82	8
166	83	8
167	83	7
168	83	7
169	84	6
170	84	6
171	85	5
172	85	5
173	85	4
174	86	4
175	86	3
176	87	3
177	88	2
178	88	2
179	89	1
180	89	1
181	90	0
182	90	0
183	91	0
